,date,announcement
6149,1997-04-30,"Sytel, Incorporated *, Bethesda, Md., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $55,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Communications Components. Work will take place in Bethesda, Md., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0008)."
6150,1997-04-30,"NAI Technologies, Incorporated Systems Division, Columbia, Md., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $105,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Tempest Information Technology Equipment. Work will take place in Columbia, Md., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0009)."
6151,1997-04-30,"Candes Systems, Incorporated, Harleysville, Pa., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $105,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Tempest Information Technology Equipment. Work will take place in Harleysville, PA., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0010)."
6152,1997-04-30,"Wang Federal, McLean, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $105,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). Tempest Information Technology Equipment. Work will take place in McLean, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0011)."
6153,1997-04-30,"Sun Microsystems Federal, Incorporated, McLean, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $220,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). UNIX Based Systems. Work will take place in McLean, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0012)."
6154,1997-04-30,"BTG Incorporated, Fairfax, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $220,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). UNIX Based Systems. Work will take place in Fairfax, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0013)."
6155,1997-04-30,"Sysorex Information Systems, Incorporated * Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $220,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). UNIX Based Systems. Work will take place in Fairfax, Va., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0014)."
6156,1997-04-30,"Digital Equipment Corporation Greenbelt, Md., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $220,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). UNIX Based Systems. Work will take place in Greenbelt Md., and is expected to be completed by April 30, 2002. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0015)."
6157,1997-04-30,"Dunn Computer Corporation * Sterling, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $24,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). PC Based Systems. Work will take place in Sterling, Va., and is expected to be completed by April 30, 1999. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97- D-0016)."
6158,1997-04-30,"Dynamic Decisions, Incorporated * Arlington, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $24,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). PC Based Systems. Work will take place in Arlington, Va., and is expected to be completed by April 30, 1999. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0017)."
6159,1997-04-30,"Cordant, Incorporated Reston, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $24,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). PC Based Systems. Work will take place in Arlington, Va., and is expected to be completed by April 30, 1999. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0018)."
6160,1997-04-30,"BTG, Incorporated Fairfax, Va., is being awarded an indefinite delivery (requirements) contract (appropriation number and dollar value will be issued with each delivery order), with a cumulative total of $24,000,000, for Systems Acquisition and Support Services (SASS) Hardware II Information Technology (IT). PC Based Systems. Work will take place in Fairfax, Va., and is expected to be completed by April 30, 1999. There were 317 bids solicited on Dec. 6, 1996 and 20 bids received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-97-D-0019)."
